"Code"	"Pays"	"Janvier"	"Fevrier"	"Mars"	"Avril"	"Mai"	"Juin"	"Juillet"	"Aout"	"Septembre"	"Octobre"	"Novembre"	"Decembre"	"Moyenne"
"AT"	"AUTRICHE"	175,00	175,00	175,00	175,00	175,00	175,00	175,00	175,00	175,00	175,00	175,00	175,00	175,00
"BE"	"BELGIQUE"	143,00	143,00	143,00	143,00	143,00	143,00	143,00	143,00	143,00	143,00	143,00	143,00	143,00
"CY"	"CHYPRE"	190,00	190,00	190,00	190,00	190,00	190,00	190,00	190,00	190,00	190,00	190,00	190,00	190,00
"DE"	"ALLEMAGNE"	164,00	164,00	164,00	164,00	164,00	164,00	164,00	164,00	164,00	164,00	164,00	164,00	164,00
"EE"	"ESTONIE"	129,00	129,00	129,00	129,00	129,00	129,00	129,00	129,00	129,00	129,00	129,00	129,00	129,00
"ES"	"ESPAGNE"	132,00	132,00	132,00	132,00	132,00	132,00	132,00	132,00	132,00	132,00	132,00	132,00	132,00
"FI"	"FINLANDE"	220,00	220,00	220,00	220,00	220,00	220,00	220,00	220,00	220,00	220,00	220,00	220,00	220,00
"FR"	"FRANCE"	130,00	130,00	130,00	130,00	130,00	130,00	130,00	130,00	130,00	130,00	130,00	130,00	130,00
"FR"	"DOM"	105,00	105,00	105,00	105,00	105,00	105,00	105,00	105,00	105,00	105,00	105,00	105,00	105,00
"GR"	"GRECE"	167,00	167,00	167,00	167,00	167,00	167,00	167,00	167,00	167,00	167,00	167,00	167,00	167,00
"IE"	"IRLANDE"	190,00	190,00	190,00	190,00	190,00	190,00	190,00	190,00	190,00	190,00	190,00	190,00	190,00
"IT"	"ITALIE"	220,00	220,00	220,00	220,00	220,00	220,00	220,00	220,00	220,00	220,00	220,00	220,00	220,00
"LT"	"LITUANIE"	145,00	145,00	145,00	145,00	145,00	145,00	145,00	145,00	145,00	145,00	145,00	145,00	145,00
"LU"	"LUXEMBOURG"	173,00	173,00	173,00	173,00	173,00	173,00	173,00	173,00	173,00	173,00	173,00	173,00	173,00
"LV"	"LETTONIE"	152,00	152,00	152,00	152,00	152,00	152,00	152,00	152,00	152,00	152,00	152,00	152,00	152,00
"MT"	"MALTE"	105,00	105,00	105,00	105,00	105,00	105,00	105,00	105,00	105,00	105,00	105,00	105,00	105,00
"NL"	"PAYS-BAS"	161,00	161,00	161,00	161,00	161,00	161,00	161,00	161,00	161,00	161,00	161,00	161,00	161,00
"PT"	"PORTUGAL"	160,00	160,00	160,00	160,00	160,00	160,00	160,00	160,00	160,00	160,00	160,00	160,00	160,00
"SI"	"SLOVENIE"	160,00	160,00	160,00	160,00	160,00	160,00	160,00	160,00	160,00	160,00	160,00	160,00	160,00
"SK"	"SLOVAQUIE"	155,00	155,00	155,00	155,00	155,00	155,00	155,00	155,00	155,00	155,00	155,00	155,00	155,00
													"Moyenne"	159
